transaction_id,transaction_date,customer_id,customer_gender,customer_age_group,customer_segment,product_id,product_name,category,brand,quantity,unit_price,discount_pct,sales_amount,payment_method,sales_channel,region
T0000001,2024-04-24,C000820,Other,35-44,Returning,P1082,Dumbbells,Sports,Brand 1,2,313.53,20,501.65,Debit Card,Online,North
T0000002,2025-07-12,C002849,Other,45-54,New,P1087,Running Shoes,Sports,Brand 3,1,366.16,0,366.16,Credit Card,Online,South
T0000003,2025-06-01,C019727,Male,55+,Returning,P1030,Sneakers,Clothing,Brand 3,1,27.99,0,27.99,Gift Card,In-Store,South
T0000004,2025-08-26,C009116,Male,25-34,VIP,P1058,Sunscreen,Beauty,Brand 1,2,102.01,15,173.42,Cash,In-Store,South
T0000005,2024-12-10,C003350,Male,45-54,New,P1028,Sneakers,Clothing,Brand 1,1,259.55,0,259.55,Cash,In-Store,Central
T0000006,2024-02-14,C023912,Female,55+,New,P1034,Bread,Groceries,Brand 1,1,474.7,0,474.7,PayPal,Online,Central
T0000007,2025-10-05,C020268,Female,55+,Returning,P1038,Rice,Groceries,Brand 2,1,53.35,0,53.35,Credit Card,Online,South
T0000008,2024-10-23,C002615,Male,18-24,VIP,P1099,Board Game,Toys,Brand 3,4,17.58,0,70.32,Cash,In-Store,East
T0000009,2025-01-14,C011642,Male,35-44,New,P1021,Jeans,Clothing,Brand 3,1,307.87,10,277.08,Gift Card,Mobile App,South
T0000010,2024-09-07,C005355,Female,45-54,Loyal,P1069,Cookware Set,Home,Brand 3,1,41.9,25,31.42,Gift Card,Online,East
T0000011,2024-02-27,C007506,Male,35-44,VIP,P1108,Novel,Books,Brand 3,4,379.0,0,1516.0,Cash,Online,South
T0000012,2025-08-03,C023525,Female,25-34,VIP,P1117,Textbook,Books,Brand 3,1,402.82,0,402.82,PayPal,Mobile App,West
T0000013,2024-09-28,C004576,Male,55+,Loyal,P1019,Jeans,Clothing,Brand 1,1,218.81,0,218.81,Gift Card,In-Store,Central
T0000014,2025-01-05,C007187,Male,55+,VIP,P1052,Lipstick,Beauty,Brand 1,2,388.69,0,777.38,Credit Card,Online,North
T0000015,2025-10-04,C005243,Other,45-54,New,P1020,Jeans,Clothing,Brand 2,1,149.16,0,149.16,PayPal,In-Store,Central
T0000016,2025-06-25,C008239,Other,18-24,New,P1060,Sunscreen,Beauty,Brand 3,3,166.04,0,498.12,Gift Card,In-Store,East
T0000017,2024-10-27,C014247,Male,45-54,New,P1015,Bluetooth Speaker,Electronics,Brand 3,1,95.0,0,95.0,Cash,Mobile App,South
T0000018,2024-04-18,C020490,Female,55+,Returning,P1065,Lamp,Home,Brand 2,5,144.06,0,720.3,Debit Card,In-Store,South
T0000019,2025-06-27,C000019,Other,35-44,VIP,P1070,Storage Box,Home,Brand 1,2,493.51,10,888.32,Credit Card,Online,East
T0000020,2024-11-10,C007847,Male,25-34,New,P1113,Notebook,Books,Brand 2,1,465.2,10,418.68,Credit Card,Mobile App,West
T0000021,2024-03-11,C024924,Other,25-34,Returning,P1105,Building Blocks,Toys,Brand 3,1,454.25,5,431.54,PayPal,Mobile App,South
T0000022,2025-06-24,C019877,Female,25-34,Returning,P1034,Bread,Groceries,Brand 1,2,474.7,0,949.4,Cash,In-Store,East
T0000023,2025-06-13,C014795,Male,25-34,Returning,P1057,Perfume,Beauty,Brand 3,1,48.8,15,41.48,Credit Card,In-Store,North
T0000024,2025-07-21,C007541,Other,25-34,New,P1076,Yoga Mat,Sports,Brand 1,1,365.86,0,365.86,Credit Card,Mobile App,North
T0000025,2024-03-10,C001030,Female,18-24,Returning,P1030,Sneakers,Clothing,Brand 3,1,27.99,0,27.99,Cash,Mobile App,West
T0000026,2025-07-06,C004336,Other,55+,VIP,P1028,Sneakers,Clothing,Brand 1,2,259.55,0,519.1,Debit Card,In-Store,West
T0000027,2024-04-06,C003177,Other,45-54,Loyal,P1025,Dress,Clothing,Brand 1,1,230.75,0,230.75,PayPal,In-Store,West
T0000028,2024-02-25,C022065,Other,18-24,New,P1111,Cookbook,Books,Brand 3,2,148.43,0,296.86,PayPal,Mobile App,East
T0000029,2024-04-21,C008148,Male,25-34,VIP,P1103,Building Blocks,Toys,Brand 1,2,160.61,0,321.22,Debit Card,In-Store,South
T0000030,2025-04-18,C008186,Male,45-54,New,P1036,Bread,Groceries,Brand 3,4,405.16,0,1620.64,Credit Card,Mobile App,Central
T0000031,2024-01-16,C003057,Male,25-34,VIP,P1108,Novel,Books,Brand 3,1,379.0,0,379.0,PayPal,In-Store,South
T0000032,2025-02-14,C001922,Male,45-54,New,P1111,Cookbook,Books,Brand 3,4,148.43,15,504.66,PayPal,In-Store,West
T0000033,2025-03-09,C022826,Other,55+,VIP,P1037,Rice,Groceries,Brand 1,1,155.78,5,147.99,Debit Card,Online,East
T0000034,2024-02-29,C018979,Other,55+,New,P1028,Sneakers,Clothing,Brand 1,2,259.55,0,519.1,Cash,Online,North
T0000035,2025-05-03,C016478,Other,25-34,New,P1075,Towel,Home,Brand 3,1,354.89,0,354.89,Gift Card,Online,South
T0000036,2025-09-01,C002227,Other,25-34,VIP,P1009,Laptop,Electronics,Brand 3,1,302.55,20,242.04,Credit Card,Mobile App,South
T0000037,2025-08-31,C001303,Other,18-24,VIP,P1075,Towel,Home,Brand 3,3,354.89,5,1011.44,Gift Card,Mobile App,Central
T0000038,2024-09-24,C006694,Other,35-44,Returning,P1041,Coffee,Groceries,Brand 2,1,65.41,0,65.41,Cash,In-Store,South
T0000039,2025-10-22,C009831,Female,35-44,New,P1086,Running Shoes,Sports,Brand 2,2,165.97,20,265.55,Credit Card,In-Store,Central
T0000040,2024-04-12,C002401,Other,25-34,Loyal,P1073,Towel,Home,Brand 1,3,7.73,10,20.87,Debit Card,In-Store,North
T0000041,2024-09-07,C012109,Female,25-34,VIP,P1113,Notebook,Books,Brand 2,2,465.2,0,930.4,Gift Card,Mobile App,East
T0000042,2025-10-31,C017333,Male,55+,Loyal,P1079,Football,Sports,Brand 1,1,182.44,20,145.95,Credit Card,Online,East
T0000043,2024-04-19,C024328,Other,25-34,Loyal,P1015,Bluetooth Speaker,Electronics,Brand 3,2,95.0,0,190.0,Cash,Mobile App,South
T0000044,2024-12-17,C006672,Other,35-44,VIP,P1092,Puzzle,Toys,Brand 2,1,358.06,5,340.16,Cash,Online,North
T0000045,2025-03-09,C009067,Male,18-24,Loyal,P1082,Dumbbells,Sports,Brand 1,1,313.53,0,313.53,Debit Card,Mobile App,East
